Province,Country,Date,Value
,Antigua and Barbuda,2/19/2020,0
,Antigua and Barbuda,2/18/2020,0
,Antigua and Barbuda,2/17/2020,0
,Antigua and Barbuda,2/16/2020,0
,Antigua and Barbuda,2/15/2020,0
,Antigua and Barbuda,2/14/2020,0
,Antigua and Barbuda,2/13/2020,0
,Antigua and Barbuda,2/12/2020,0
,Antigua and Barbuda,2/11/2020,0
,Antigua and Barbuda,2/10/2020,0
,Antigua and Barbuda,2/9/2020,0
,Antigua and Barbuda,2/8/2020,0
,Antigua and Barbuda,2/7/2020,0
,Antigua and Barbuda,2/6/2020,0
,Antigua and Barbuda,2/5/2020,0
,Antigua and Barbuda,2/4/2020,0
,Antigua and Barbuda,2/3/2020,0
,Antigua and Barbuda,2/2/2020,0
,Antigua and Barbuda,2/1/2020,0
,Antigua and Barbuda,1/31/2020,0
,Antigua and Barbuda,1/30/2020,0
,Antigua and Barbuda,1/29/2020,0
,Antigua and Barbuda,1/28/2020,0
,Antigua and Barbuda,1/27/2020,0
,Antigua and Barbuda,1/26/2020,0
,Antigua and Barbuda,1/25/2020,0
,Antigua and Barbuda,1/24/2020,0
,Antigua and Barbuda,1/23/2020,0
,Antigua and Barbuda,1/22/2020,0
,Argentina,4/14/2020,2277
,Argentina,4/13/2020,2208
,Argentina,4/12/2020,2142
,Argentina,4/11/2020,1975
,Argentina,4/10/2020,1975
,Argentina,4/9/2020,1795
,Argentina,4/8/2020,1715
,Argentina,4/7/2020,1628
,Argentina,4/6/2020,1554
,Argentina,4/5/2020,1451
,Argentina,4/4/2020,1451
,Argentina,4/3/2020,1265
,Argentina,4/2/2020,1133
,Argentina,4/1/2020,1054
,Argentina,3/31/2020,1054
,Argentina,3/30/2020,820
,Argentina,3/29/2020,745
,Argentina,3/28/2020,690
,Argentina,3/27/2020,589
,Argentina,3/26/2020,502
,Argentina,3/25/2020,387
,Argentina,3/24/2020,387
,Argentina,3/23/2020,301
,Argentina,3/22/2020,266
,Argentina,3/21/2020,158
,Argentina,3/20/2020,128
,Argentina,3/19/2020,97
,Argentina,3/18/2020,79
,Argentina,3/17/2020,68
,Argentina,3/16/2020,56
,Argentina,3/15/2020,45
,Argentina,3/14/2020,34
,Argentina,3/13/2020,31
,Argentina,3/12/2020,19
,Argentina,3/11/2020,19
,Argentina,3/10/2020,17
,Argentina,3/9/2020,12
,Argentina,3/8/2020,12
,Argentina,3/7/2020,8
,Argentina,3/6/2020,2
,Argentina,3/5/2020,1
,Argentina,3/4/2020,1
,Argentina,3/3/2020,1
,Argentina,3/2/2020,0
,Argentina,3/1/2020,0
,Argentina,2/29/2020,0
,Argentina,2/28/2020,0
,Argentina,2/27/2020,0
,Argentina,2/26/2020,0
,Argentina,2/25/2020,0
,Argentina,2/24/2020,0
,Argentina,2/23/2020,0
,Argentina,2/22/2020,0
,Argentina,2/21/2020,0
,Argentina,2/20/2020,0
,Argentina,2/19/2020,0
,Argentina,2/18/2020,0
,Argentina,2/17/2020,0
,Argentina,2/16/2020,0
,Argentina,2/15/2020,0
,Argentina,2/14/2020,0
,Argentina,2/13/2020,0
,Argentina,2/12/2020,0
,Argentina,2/11/2020,0
,Argentina,2/10/2020,0
,Argentina,2/9/2020,0
,Argentina,2/8/2020,0
,Argentina,2/7/2020,0
,Argentina,2/6/2020,0
,Argentina,2/5/2020,0
,Argentina,2/4/2020,0
,Argentina,2/3/2020,0
,Argentina,2/2/2020,0
,Argentina,2/1/2020,0
,Argentina,1/31/2020,0
,Argentina,1/30/2020,0
,Argentina,1/29/2020,0
,Argentina,1/28/2020,0
,Argentina,1/27/2020,0
,Argentina,1/26/2020,0
,Argentina,1/25/2020,0
,Argentina,1/24/2020,0
,Argentina,1/23/2020,0
,Argentina,1/22/2020,0
,Armenia,4/14/2020,1067
,Armenia,4/13/2020,1039
,Armenia,4/12/2020,1013
,Armenia,4/11/2020,967
,Armenia,4/10/2020,937
,Armenia,4/9/2020,921
,Armenia,4/8/2020,881
,Armenia,4/7/2020,853
,Armenia,4/6/2020,833
,Armenia,4/5/2020,822
,Armenia,4/4/2020,770
,Armenia,4/3/2020,736
,Armenia,4/2/2020,663
,Armenia,4/1/2020,571
,Armenia,3/31/2020,532
,Armenia,3/30/2020,482
,Armenia,3/29/2020,424
,Armenia,3/28/2020,407
,Armenia,3/27/2020,329
,Armenia,3/26/2020,290
,Armenia,3/25/2020,265
,Armenia,3/24/2020,249
,Armenia,3/23/2020,235
,Armenia,3/22/2020,194
,Armenia,3/21/2020,160
,Armenia,3/20/2020,136
,Armenia,3/19/2020,115
,Armenia,3/18/2020,84
,Armenia,3/17/2020,78
,Armenia,3/16/2020,52
,Armenia,3/15/2020,26
,Armenia,3/14/2020,18
,Armenia,3/13/2020,8
,Armenia,3/12/2020,4
,Armenia,3/11/2020,1
,Armenia,3/10/2020,1
,Armenia,3/9/2020,1
,Armenia,3/8/2020,1
,Armenia,3/7/2020,1
,Armenia,3/6/2020,1
,Armenia,3/5/2020,1
,Armenia,3/4/2020,1
,Armenia,3/3/2020,1
,Armenia,3/2/2020,1
,Armenia,3/1/2020,1
,Armenia,2/29/2020,0
,Armenia,2/28/2020,0
,Armenia,2/27/2020,0
,Armenia,2/26/2020,0
,Armenia,2/25/2020,0
,Armenia,2/24/2020,0
,Armenia,2/23/2020,0
,Armenia,2/22/2020,0
,Armenia,2/21/2020,0
,Armenia,2/20/2020,0
,Armenia,2/19/2020,0
,Armenia,2/18/2020,0
,Armenia,2/17/2020,0
,Armenia,2/16/2020,0
,Armenia,2/15/2020,0
,Armenia,2/14/2020,0
,Armenia,2/13/2020,0
,Armenia,2/12/2020,0
,Armenia,2/11/2020,0
,Armenia,2/10/2020,0
,Armenia,2/9/2020,0
,Armenia,2/8/2020,0
,Armenia,2/7/2020,0
,Armenia,2/6/2020,0
,Armenia,2/5/2020,0
,Armenia,2/4/2020,0
,Armenia,2/3/2020,0
,Armenia,2/2/2020,0
,Armenia,2/1/2020,0
,Armenia,1/31/2020,0
,Armenia,1/30/2020,0
,Armenia,1/29/2020,0
,Armenia,1/28/2020,0
,Armenia,1/27/2020,0
,Armenia,1/26/2020,0
,Armenia,1/25/2020,0
,Armenia,1/24/2020,0
,Armenia,1/23/2020,0
,Armenia,1/22/2020,0
Australian Capital Territory,Australia,4/14/2020,103
Australian Capital Territory,Australia,4/13/2020,102
Australian Capital Territory,Australia,4/12/2020,103
Australian Capital Territory,Australia,4/11/2020,103
Australian Capital Territory,Australia,4/10/2020,103
Australian Capital Territory,Australia,4/9/2020,100
Australian Capital Territory,Australia,4/8/2020,99
Australian Capital Territory,Australia,4/7/2020,96
Australian Capital Territory,Australia,4/6/2020,96
Australian Capital Territory,Australia,4/5/2020,96
Australian Capital Territory,Australia,4/4/2020,93
Australian Capital Territory,Australia,4/3/2020,91
Australian Capital Territory,Australia,4/2/2020,87
Australian Capital Territory,Australia,4/1/2020,84
Australian Capital Territory,Australia,3/31/2020,80
Australian Capital Territory,Australia,3/30/2020,78
Australian Capital Territory,Australia,3/29/2020,77
Australian Capital Territory,Australia,3/28/2020,71
Australian Capital Territory,Australia,3/27/2020,62
Australian Capital Territory,Australia,3/26/2020,53
Australian Capital Territory,Australia,3/25/2020,39
Australian Capital Territory,Australia,3/24/2020,39
Australian Capital Territory,Australia,3/23/2020,32
Australian Capital Territory,Australia,3/22/2020,19
Australian Capital Territory,Australia,3/21/2020,9
Australian Capital Territory,Australia,3/20/2020,6
Australian Capital Territory,Australia,3/19/2020,4
Australian Capital Territory,Australia,3/18/2020,3
Australian Capital Territory,Australia,3/17/2020,2
Australian Capital Territory,Australia,3/16/2020,2
Australian Capital Territory,Australia,3/15/2020,1
Australian Capital Territory,Australia,3/14/2020,1
Australian Capital Territory,Australia,3/13/2020,1
Australian Capital Territory,Australia,3/12/2020,0
Australian Capital Territory,Australia,3/11/2020,0
Australian Capital Territory,Australia,3/10/2020,0
Australian Capital Territory,Australia,3/9/2020,0
Australian Capital Territory,Australia,3/8/2020,0
Australian Capital Territory,Australia,3/7/2020,0
Australian Capital Territory,Australia,3/6/2020,0
Australian Capital Territory,Australia,3/5/2020,0
Australian Capital Territory,Australia,3/4/2020,0
Australian Capital Territory,Australia,3/3/2020,0
Australian Capital Territory,Australia,3/2/2020,0
Australian Capital Territory,Australia,3/1/2020,0
Australian Capital Territory,Australia,2/29/2020,0
Australian Capital Territory,Australia,2/28/2020,0
Australian Capital Territory,Australia,2/27/2020,0
Australian Capital Territory,Australia,2/26/2020,0
Australian Capital Territory,Australia,2/25/2020,0
Australian Capital Territory,Australia,2/24/2020,0
Australian Capital Territory,Australia,2/23/2020,0
Australian Capital Territory,Australia,2/22/2020,0
Australian Capital Territory,Australia,2/21/2020,0
Australian Capital Territory,Australia,2/20/2020,0
Australian Capital Territory,Australia,2/19/2020,0
Australian Capital Territory,Australia,2/18/2020,0
Australian Capital Territory,Australia,2/17/2020,0
Australian Capital Territory,Australia,2/16/2020,0
Australian Capital Territory,Australia,2/15/2020,0
Australian Capital Territory,Australia,2/14/2020,0
Australian Capital Territory,Australia,2/13/2020,0
Australian Capital Territory,Australia,2/12/2020,0
Australian Capital Territory,Australia,2/11/2020,0
Australian Capital Territory,Australia,2/10/2020,0
Australian Capital Territory,Australia,2/9/2020,0
Australian Capital Territory,Australia,2/8/2020,0
Australian Capital Territory,Australia,2/7/2020,0
Australian Capital Territory,Australia,2/6/2020,0
Australian Capital Territory,Australia,2/5/2020,0
Australian Capital Territory,Australia,2/4/2020,0
Australian Capital Territory,Australia,2/3/2020,0
Australian Capital Territory,Australia,2/2/2020,0
Australian Capital Territory,Australia,2/1/2020,0
Australian Capital Territory,Australia,1/31/2020,0
Australian Capital Territory,Australia,1/30/2020,0
Australian Capital Territory,Australia,1/29/2020,0
Australian Capital Territory,Australia,1/28/2020,0
Australian Capital Territory,Australia,1/27/2020,0
Australian Capital Territory,Australia,1/26/2020,0
Australian Capital Territory,Australia,1/25/2020,0
Australian Capital Territory,Australia,1/24/2020,0
Australian Capital Territory,Australia,1/23/2020,0
Australian Capital Territory,Australia,1/22/2020,0
New South Wales,Australia,4/14/2020,2870
New South Wales,Australia,4/13/2020,2863
New South Wales,Australia,4/12/2020,2857
New South Wales,Australia,4/11/2020,2857
New South Wales,Australia,4/10/2020,2822
New South Wales,Australia,4/9/2020,2773
New South Wales,Australia,4/8/2020,2734
New South Wales,Australia,4/7/2020,2686
New South Wales,Australia,4/6/2020,2637
New South Wales,Australia,4/5/2020,2580
New South Wales,Australia,4/4/2020,2493
New South Wales,Australia,4/3/2020,2389
New South Wales,Australia,4/2/2020,2298
New South Wales,Australia,4/1/2020,2182
New South Wales,Australia,3/31/2020,2032
New South Wales,Australia,3/30/2020,2032
New South Wales,Australia,3/29/2020,1791
New South Wales,Australia,3/28/2020,1617
New South Wales,Australia,3/27/2020,1405
New South Wales,Australia,3/26/2020,1219
New South Wales,Australia,3/25/2020,1029
New South Wales,Australia,3/24/2020,818
New South Wales,Australia,3/23/2020,669
New South Wales,Australia,3/22/2020,669
New South Wales,Australia,3/21/2020,436
New South Wales,Australia,3/20/2020,353
New South Wales,Australia,3/19/2020,307
New South Wales,Australia,3/18/2020,267
New South Wales,Australia,3/17/2020,210
New South Wales,Australia,3/16/2020,171
New South Wales,Australia,3/15/2020,134
New South Wales,Australia,3/14/2020,112
New South Wales,Australia,3/13/2020,92
New South Wales,Australia,3/12/2020,65
New South Wales,Australia,3/11/2020,65
New South Wales,Australia,3/10/2020,55
New South Wales,Australia,3/9/2020,48
New South Wales,Australia,3/8/2020,38
New South Wales,Australia,3/7/2020,28
New South Wales,Australia,3/6/2020,26
New South Wales,Australia,3/5/2020,22
New South Wales,Australia,3/4/2020,22
New South Wales,Australia,3/3/2020,13
New South Wales,Australia,3/2/2020,6
New South Wales,Australia,3/1/2020,6
New South Wales,Australia,2/29/2020,4
New South Wales,Australia,2/28/2020,4
New South Wales,Australia,2/27/2020,4
New South Wales,Australia,2/26/2020,4
New South Wales,Australia,2/25/2020,4
New South Wales,Australia,2/24/2020,4
New South Wales,Australia,2/23/2020,4
New South Wales,Australia,2/22/2020,4
New South Wales,Australia,2/21/2020,4
New South Wales,Australia,2/20/2020,4
New South Wales,Australia,2/19/2020,4
New South Wales,Australia,2/18/2020,4
New South Wales,Australia,2/17/2020,4
New South Wales,Australia,2/16/2020,4
New South Wales,Australia,2/15/2020,4
New South Wales,Australia,2/14/2020,4
New South Wales,Australia,2/13/2020,4
New South Wales,Australia,2/12/2020,4
New South Wales,Australia,2/11/2020,4
New South Wales,Australia,2/10/2020,4
New South Wales,Australia,2/9/2020,4
New South Wales,Australia,2/8/2020,4
New South Wales,Australia,2/7/2020,4
New South Wales,Australia,2/6/2020,4
New South Wales,Australia,2/5/2020,4
New South Wales,Australia,2/4/2020,4
New South Wales,Australia,2/3/2020,4
New South Wales,Australia,2/2/2020,4
